canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,6.76,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.9332508602781384,0.3024548628820531,10.96066001159812,7.922061390836396,5.066749139721861,0.3024548628820531,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.3024548628820531,3.453500000000002,-5.242372322098043,5.723051814844524e-06,Moderately Soluble,54.03302,51.58976,46.119293,0,1,0,0.15149388,0.37941295,0.7905056,0.052814685,0.89460784,0.41001114,0.6163969,0.7340325,0.2590198,0.9837438,0.999976,0.75405467,0.95566493,0.83751124,-4.5782623,98.41604,6.4619102,421.47200000000015,3.453500000000002,0.7109076812540762,4.0,3.5375694365788,0.7180478403801334,1,0,1
COc1cc(C(F)(F)F)cc(CN2CCC3(CCN(c4cncc(C#CCCO)c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4191176470588235,8.24,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1494798774832256,0.3450623085150971,18.23568173690457,10.96175173021412,4.850520122516775,0.3450623085150971,2.972745653490808,66.95792740450513,4.174197997827184,5.526842247206365,0.3450623085150971,3.340300000000002,-5.399638471948731,3.984387124866919e-06,Moderately Soluble,17.29001,15.310858,44.333694,0,1,0,0.095028326,0.6311067,0.6507071,0.06331317,0.95001763,0.15517733,0.21287613,0.38415793,0.30508006,0.95015556,0.99984676,0.8466673,0.95017225,0.84012425,-5.109378,92.88607,11.604735,460.5000000000003,3.340300000000002,0.691098679395,4.0,3.9925203459929737,0.667497739334114,1,0,1
Cc1cc(C#CCCN2CCC3(C2)CN(C(=O)c2ccc4c(c2)C(F)(F)OCO4)C3)ccn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3776223776223776,9.95,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.0364323937648836,0.3490444296987596,14.722588468201447,10.835916206702752,4.963567606235117,0.3490444296987596,2.2506362602401344,52.54839744205617,4.279440524025548,5.647694688444686,0.3490444296987596,3.395520000000002,-5.401126852579331,3.970755511850066e-06,Moderately Soluble,19.929255,18.815975,40.822086,0,1,0,0.4004833,0.68176067,0.4466835,0.05532924,0.92149246,0.05668353,0.058696926,0.034660228,0.4026455,0.76162803,0.9993757,0.8266555,0.885836,0.45497102,-4.7155337,89.196205,7.425317,453.48900000000015,3.395520000000002,0.6672695041261716,4.0,3.7438829051881815,0.6951241216457575,1,0,1
N#Cc1cc2c(cc1C(=O)N1CCC3(CCN(c4cnc(C#CCCO)c(Cl)c4)C3)C1)OCO2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4779411764705882,8.48,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1427341595853726,0.3490890461207663,18.043246357830828,10.749716727780882,4.857265840414628,0.3490890461207663,2.8742174992089056,67.13495311917953,4.173051310017925,5.541480370811329,0.3490890461207663,2.8118800000000004,-5.132000986411362,7.379025541320058e-06,Moderately Soluble,38.439384,39.73931,43.559105,0,1,0,0.31147963,0.2676552,0.877046,0.088202715,0.72185427,0.089232236,0.33591664,0.56573445,0.14571828,0.93114835,0.9989749,0.6683425,0.85543907,0.8302897,-4.660964,94.86744,7.427783,478.93600000000026,2.8118800000000004,0.6770142017374808,4.0,4.113433545093759,0.6540629394340267,1,0,1
N#Cc1cc2c(cc1C(=O)N1CCC3(CCN(c4cnc(C#CCO)c(Cl)c4)C3)C1)OCO2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4558823529411764,7.51,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1614800552391862,0.3673371277884136,19.411530861689727,12.294473629797732,4.838519944760813,0.3673371277884136,2.763753367626965,76.11334800336728,4.118539174295523,5.558500715226105,0.3673371277884136,2.42178,-4.757911367910419,1.746178481776724e-05,Moderately Soluble,39.345116,31.958979,47.435806,0,1,0,0.2926822,0.2759556,0.8929321,0.10613217,0.7119635,0.10247533,0.3437636,0.6002227,0.13477351,0.9220315,0.9984926,0.6976287,0.83331937,0.8141576,-4.625099,93.63884,7.1112785,464.9090000000002,2.42178,0.6812144808426506,4.0,4.0895048390587,0.6567216845490333,1,0,1
CNc1cc(C(F)(F)F)cc(CN2CCC3(CCN(c4cncc(C#CCCO)c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4191176470588235,8.65,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.2055193753722164,0.3711032173062191,21.46102109693799,13.669277614530692,4.794480624627783,0.3711032173062191,3.0071636941796624,85.68043865921818,4.067118318707594,5.521842930547973,0.3711032173062191,3.373400000000001,-5.417679817153729,3.822259624104332e-06,Moderately Soluble,11.538243,8.560314,50.547607,0,1,0,0.17297372,0.7112716,0.6234567,0.06960328,0.97069675,0.2946127,0.25024617,0.33889395,0.52952695,0.9482645,0.99979913,0.8182163,0.9356531,0.8393914,-5.354163,87.810905,15.945871,459.51600000000025,3.373400000000001,0.6688963450158092,4.0,4.040179102130454,0.6622023219855051,1,0,1
CNc1cc(C(F)(F)F)cc(CN2CCC3(CCN(c4cncc(C#CCO)c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3970588235294117,8.15,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.2142946453723902,0.3825573046960528,22.419730927890846,15.1960296426956,4.78570535462761,0.3825573046960528,2.913951561056608,92.06762975972008,4.035893037423346,5.535517671831873,0.3825573046960528,2.9833000000000007,-5.043875124056806,9.039093441790022e-06,Moderately Soluble,8.5855465,-1.6206421,51.75014,0,1,0,0.13525519,0.70022714,0.65129834,0.07807555,0.9641663,0.28382093,0.2409443,0.3799104,0.48535022,0.9311615,0.9997544,0.8442097,0.9253892,0.7999111,-5.303638,86.18065,15.2552395,445.4890000000002,2.9833000000000007,0.7059673094695353,4.0,4.015426717708872,0.6649525869212365,1,0,1
Cc1cc(C#CC(C)(C)O)cnc1C(=O)N1CCC2(CCN(c3ccc(C#N)cc3F)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3,9.5,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1844044145788182,0.3922932995004642,21.454089879954623,15.055359903796248,4.815595585421182,0.3922932995004642,2.6032120599269923,89.80474449814149,4.046700718400272,5.584490452442092,0.3922932995004642,3.2658000000000023,-5.262315973367196,5.466181231287929e-06,Moderately Soluble,15.327428,5.3954396,40.00892,0,1,0,0.26568642,0.22585754,0.82970065,0.07411852,0.5354484,0.035396993,0.14246085,0.23786691,0.03172495,0.6754664,0.9987911,0.8262612,0.8856708,0.62117463,-4.586372,86.72911,6.039958,446.5260000000003,3.2658000000000023,0.7165695190934571,4.0,3.9241650802134256,0.6750927688651749,1,0,1
CC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)N(C)CO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.46875,9.25,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.9632181824737632,0.3455377653879309,12.850329182551349,11.32432862540402,5.036781817526236,0.3455377653879309,1.9318088988771889,43.699070823545895,4.359527797365892,5.714035837686581,0.3455377653879309,2.730700000000001,-4.615960889983269,2.421247080245821e-05,Moderately Soluble,48.874737,42.11671,44.574093,0,1,0,0.2590631,0.39886013,0.79281014,0.03703288,0.79515254,0.095432244,0.18385324,0.21351647,0.05547567,0.8860577,0.99993485,0.8804371,0.9522743,0.5102438,-4.56461,92.372765,6.7348604,406.4610000000002,2.730700000000001,0.7181775585698748,4.0,3.760765700942616,0.6932482554508204,1,0,1
Cc1cc(C#N)cc(CN2CCC3(CCN(c4cnc(OC(F)(F)F)cn4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.2602739726027397,9.53,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.1418478380953696,0.3938186041496197,20.042539139265507,15.54709942488454,4.858152161904631,0.3938186041496197,2.344031124129716,81.98460379950637,4.086267697771376,5.630036626037885,0.3938186041496197,3.052700000000001,-4.926992101170115,1.1830630727588e-05,Moderately Soluble,24.94896,2.01492,41.75579,0,0,0,0.119126335,0.5101939,0.701811,0.097046375,0.7446748,0.3749044,0.076240316,0.10469727,0.1270578,0.36023054,0.9999614,0.95828354,0.9795087,0.1666212,-4.8709326,84.90584,6.1396956,418.42300000000006,3.052700000000001,0.7551931182087642,4.0,3.986756916658356,0.6681381203712937,0,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4N)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7727272727272727,8.3,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.202643999226805,0.6027867767415637,48.16748725694215,76.0808612751983,4.797356000773196,0.6027867767415637,1.049982151963999,242.1620484371657,3.6158939183597294,5.97881808318666,0.6027867767415637,3.2867000000000006,-5.183149985103852,6.559187033864989e-06,Moderately Soluble,59.470898,57.217205,40.802536,0,3,0,0.18446864,0.42024356,0.83583164,0.045150165,0.9386307,0.4181108,0.74428266,0.86179936,0.29756486,0.993687,0.99998724,0.72179,0.95702267,0.9055355,-4.767286,101.187904,5.748511,432.5240000000002,3.2867000000000006,0.4537042148229764,4.0,3.4819910674958976,0.724223214722678,3,0,1
