canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CC(C)(C)OC(=O)NCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6859504132231405,2.32,5,KNN | KNN | DT | LGBM | ET,0.21498773558920964,1.6405434438454882,5.78501226441079,0.5483143074311713,0.40523514789151766,5.866172228603138,6.613883263917673,5.451685692568828,0.40523514789151766,0.5676144168290693,22.007727364403692,4.657424802701454,6.245946582436203,0.40523514789151766,3.486500000000002,-5.894695914552493,1.2743950779824452e-06,Moderately Soluble,58.830284,18.239046,44.18084,0,3,0,0.67830634,0.3997602,0.887149,0.2883639,0.92599046,0.045807492,0.6662795,0.69907695,0.36426628,0.9315117,0.9990203,0.7454057,0.8641283,0.9054136,-4.9708986,97.21623,7.778099,522.5620000000005,3.486500000000002,0.342347260172893,3.0,3.63444299385014,0.7072841117944288,3,0,1
CCCCCC#Cc1cncc(N2CC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.875,2.52,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545735,0.7802565878921075,6.107762555795457,0.12503510300347592,0.23230419862097437,1.5526715640752848,0.9154432438767138,5.8749648969965245,0.23230419862097437,0.4674324662530807,3.8049708353229463,5.4196486676994144,6.330281126293634,0.23230419862097437,3.792200000000003,-5.743141004428312,1.8065874775434432e-06,Moderately Soluble,56.725838,32.869453,52.32322,0,4,0,0.5384349,0.044569295,0.982715,0.16952044,0.65991986,0.049483463,0.775157,0.83379316,0.08738268,0.86582613,0.99963677,0.7060711,0.9009274,0.91435117,-4.682357,101.50911,6.033151,463.4940000000002,3.792200000000003,0.26483340932877325,4.0,3.420398565961033,0.7310668260043296,4,1,0
CC(C)(O)C#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.719626168224299,1.86,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.310257813879466,0.5769611439232389,51.84355449552142,74.53637938616617,4.689742186120534,0.5769611439232389,1.5115202567764825,276.12241045033085,3.5588983440309856,5.820586028210082,0.5769611439232389,2.2852000000000006,-4.36615794455936,4.303700647028678e-05,Moderately Soluble,13.366766,19.118967,14.799754,0,1,0,0.14994271,0.42166,0.79025614,0.06769302,0.8542713,0.21622224,0.47082275,0.5752479,0.22367659,0.9381615,0.9998255,0.7916837,0.91208124,0.6762329,-5.010904,86.714615,3.549563,419.4810000000002,2.2852000000000006,0.7532158200072487,4.0,3.402834921374903,0.7330183420694552,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCC5CC5)C4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.72,3.27,5,KNN | KNN | DT | LGBM | ET,0.8679607879934845,7.378376085152375,5.132039212006515,1.0993113601708782,0.33867925717803543,16.629427615966627,11.400202832088262,4.900688639829122,0.33867925717803543,2.7258378399918604,57.959242957476825,4.236877295760173,5.564499983898071,0.33867925717803543,3.144000000000002,-4.8803901308410635,1.317073067789758e-05,Moderately Soluble,84.793205,61.55537,22.639505,0,0,0,0.25698757,0.3715581,0.65584373,0.07235132,0.8436373,0.060835637,0.4203112,0.34876603,0.10144164,0.7492876,0.9998745,0.8236721,0.9743935,0.7350303,-4.774968,86.05911,5.831811,414.5500000000003,3.144000000000002,0.737819394068631,4.0,3.4213344715908214,0.7309628364899088,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(C(N)=O)cc4)c3)CC2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.7083333333333334,6.56,5,KNN | KNN | DT | LGBM | ET,0.911354584947708,8.153697307410502,5.088645415052292,1.3182728092176812,0.615314205206799,53.64405535763461,73.91875871700056,4.681727190782318,0.615314205206799,1.294961828722832,334.4172347413238,3.4757113485769926,5.887743032987645,0.615314205206799,3.684800000000002,-5.420912383480471,3.7939151740228373e-06,Moderately Soluble,54.79859,31.7076,15.087128,0,0,0,0.21212153,0.51800776,0.85903007,0.111364946,0.72111595,0.11899273,0.10049921,0.19096439,0.05919767,0.3644938,0.9971212,0.9137993,0.868993,0.56083834,-5.032336,91.74841,3.1862016,422.5290000000002,3.684800000000002,0.81500243164776,4.0,2.9625502450047616,0.7819388616661376,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccc(N)cc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.7849462365591398,4.9,5,KNN | KNN | DT | LGBM | ET,1.1167261330608658,13.08356610599206,4.883273866939135,1.3790193417463688,0.5012146276451924,52.64563747067009,73.93966993802465,4.6209806582536315,0.5012146276451924,2.4925201135324504,229.8264516524468,3.6385999880690543,5.603361328438209,0.5012146276451924,3.5108000000000015,-5.185115052115645,6.529575499905083e-06,Moderately Soluble,46.8365,33.41326,70.57489,0,2,0,0.3861279,0.35466254,0.8956941,0.08375668,0.8041827,0.11729622,0.41415435,0.55200344,0.055280406,0.8299656,0.9990681,0.82446367,0.9139002,0.8522455,-4.7409034,98.66376,11.847973,404.5140000000002,3.5108000000000015,0.5817236786122522,4.0,3.3023358948663404,0.7441849005704066,2,0,0
CC(C)(C)OC(=O)COCc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6076923076923076,3.48,5,KNN | KNN | DT | LGBM | ET,1.1494934111284765,14.108908310538705,4.850506588871523,1.4532563286146025,0.4696741644861469,56.23469026587209,72.72902484176053,4.546743671385397,0.4696741644861469,3.4095335338132644,236.49267354860365,3.62618230899255,5.467305033778246,0.4696741644861469,2.9293000000000013,-5.50433335968127,3.1308815713760535e-06,Moderately Soluble,115.71433,94.10042,-4.855035,0,2,0,0.33199245,0.27225655,0.91806775,0.099486396,0.8966544,0.018679822,0.57759047,0.6543851,0.13980925,0.9784788,0.99993956,0.79935443,0.95279914,0.87812996,-4.8424845,93.32179,2.8653617,526.5460000000004,2.9293000000000013,0.30111991205027333,3.0,3.5108669042793332,0.7210147884134075,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)CC2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.8962264150943396,3.87,5,KNN | KNN | DT | LGBM | ET,1.1730099153293871,14.893950815374804,4.826990084670613,1.2627599756164067,0.18823610204553703,19.992387204444288,7.955677620998158,4.737240024383594,0.18823610204553703,7.830999849250726,42.82552893651436,4.368297264374341,5.106182784392846,0.18823610204553703,4.756900000000004,-6.6432030732540355,2.2740338587999752e-07,Poorly Soluble,104.20247,75.27519,30.19685,0,1,0,0.18215089,0.36128542,0.7796565,0.066850744,0.95442164,0.08891193,0.673832,0.6931435,0.12642397,0.9272482,0.99997187,0.75808614,0.97648257,0.974049,-4.984844,99.82621,7.5796,492.6640000000004,4.756900000000004,0.519827405524709,4.0,3.2198900446360543,0.753345550595994,1,0,0
C(#Cc1cncc(N2CCC3(CCNC3)C2)c1)c1ccccc1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.8611111111111112,3.12,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.1431623545330172,0.29186970712176413,17.059844835467736,10.504449703463347,4.856837645466983,0.29186970712176413,3.7247551437818704,51.90712564338692,4.284773019508325,5.42890227142564,0.29186970712176413,2.6712000000000007,-3.945599891770902,0.00011334441054328725,Soluble,-14.596506,11.819171,50.868683,0,1,0,0.29036883,0.49670038,0.6040311,0.076142356,0.88549244,0.6569867,0.26128396,0.3710915,0.28678316,0.9273509,0.9997196,0.8124975,0.9122442,0.53620064,-4.682366,87.14193,13.174307,303.40899999999993,2.6712000000000007,0.8210869680931842,4.0,3.606034209126932,0.710440643430341,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccccn3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,0.7101449275362319,2.38,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.1628044971792035,0.455492952908705,23.575452052593693,20.86110015776349,4.837195502820796,0.455492952908705,1.862251400165654,113.65032575572411,3.9444293151197347,5.729961690521858,0.455492952908705,2.5288000000000004,-3.646587504116231,0.00022563813211831673,Soluble,80.04106,77.854614,10.247765,0,0,0,0.11145093,0.1880785,0.4085537,0.12961245,0.41013712,0.09875141,0.16768514,0.034947004,0.07850896,0.030381968,0.999935,0.9280184,0.9836353,0.061669976,-4.5170126,75.126495,0.6253856,289.3790000000001,2.5288000000000004,0.7967555161323167,4.0,2.90072865421625,0.7888079273093056,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccncc3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,0.6619718309859155,2.39,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.1250292330655338,0.4798843959570988,22.99394688718953,22.12767060046824,4.874970766934466,0.4798843959570988,1.529170168162256,116.30614178344743,3.9343973508585526,5.815544183010379,0.4798843959570988,2.5288000000000004,-3.646587504116231,0.00022563813211831673,Soluble,55.05476,52.11605,12.815376,0,0,0,0.08681428,0.25159913,0.53219134,0.08000755,0.5420665,0.06770792,0.2769988,0.15547302,0.079423465,0.3337151,0.99994946,0.8867637,0.9638438,0.16739948,-4.5672026,63.336,2.8268433,289.3790000000001,2.5288000000000004,0.7967555161323167,4.0,2.9656002722533845,0.781599969749624,0,0,0
