SMILES,SMILES_state,Scaffold,R-groups,NLL
c1(=O)c(=O)c(N2CC3CC2CN3C(=O)C)cnn1CCCC(C)(C)C(=O)NCCCCC(*)(C)C,0,C(c1cncc(N2CC3(CNC3)CC2)c1)#Cc1ccccc1,c1(=O)c(=O)c(N2CC3CC2CN3C(=O)C)cnn1CCCC(C)(C)C(=O)NCCCCC(*)(C)C,46.59
*C(C(=O)c1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1,0,C12(CN(C(=O)OC(C)(C)C)C1)CN(c1cccc(Br)n1)CC2,*C(C(=O)c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1,17.08
C#CC1(NC(=O)Cc2ccc(S(=O)(=O)C(F)(F)F)c(CS(=O)(=O)NC(=O)c3cnc(N4CCC(CCCCC(N)=O)CC4)nc3NC(c3nc(C(F)(F)F)cs3)C(C)CC(=O)OCCCCOC(=O)CCC#CCOC(=O)C(F)(F)F)c2)CCC(C#CC)(CCC)C1,0,c1c(-c2ccc(F)cc2)cc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cn1,O=S(C(F)(F)F)(=O)c1ccc(CC(=O)NC2(C#C)CCC(C#CC)(CCC)C2)cc1CS(=O)(=O)NC(=O)c1cnc(N2CCC(CCCCC(=O)N)CC2)nc1NC(c1scc(C(F)(F)F)n1)C(C)CC(=O)OCCCCOC(=O)CCC#CCOC(=O)C(F)(F)F,91.54
c1ccc(S(=O)(CC)=O)c(C)c1C(c1c(CCC)oc(CCCCOc2cc(CCC(=O)O)cc(C#CCCCC(C(=O)O)(C)C)c2O)c1)=O)C1C(C(=O)O)C(*)C1,0,C(OC(C)(C)C)(N1CC2(CCN(c3cc(Br)cnc3)C2)C1)=O,c1ccc(S(=O)(CC)=O)c(C)c1C(c1c(CCC)oc(CCCCOc2cc(CCC(=O)O)cc(C#CCCCC(C(=O)O)(C)C)c2O)c1)=O)C1C(C(=O)O)C(*)C1,73.66
*c1ncn[nH]1,0,c1c(C#Cc2cc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)cnc2)cccc1,*c1ncn[nH]1,14.89
O=C1NC2C(CSC2c2cc(CC(C)C)c(OCCOCCOCC#C)cc1C(N)=O)C(CCCCC(=O)NCCCCC(=O)NCCOCCOCCOCCN*)n2,0,c1cc(CCCOC2CN(c3cc(N4CCC5(CN(C(=O)OC(C)(C)C)C5)C4)cnc3)C2)ccc1,O=C1NC2C(CSC2c2cc(CC(C)C)c(OCCOCCOCC#C)cc1C(N)=O)C(CCCCC(=O)NCCCCC(=O)NCCOCCOCCOCCN*)n2,56.44
C(C#N)CN(CCC#N)C1CCN(C(CC)=O)CC1C(c1cc(Cl)c(Cl)cc1)CC(NCCCNC(CCCC#C)=O)C(CCCCN)(C)C#N)C#CCCCC#CC#CCC#CCCCC(NCCN(C)C)=O,0,c1c(C#CCCCCCC)cncc1N1CCC2(CN(C(CCc3c4c(cccc4)[nH]c3)=O)C2)C1,C(C#N)CN(CCC#N)C1CCN(C(CC)=O)CC1C(c1cc(Cl)c(Cl)cc1)CC(NCCCNC(CCCC#C)=O)C(CCCCN)(C)C#N)C#CCCCC#CC#CCC#CCCCC(NCCN(C)C)=O,60.9
C#Cc1cc(C#CCCCC)c(COC(=O)C(CCSC)NC(=O)CCCCC2CCN(C(=O)C(N)CCCCN)C(C(=O)O)C2(S)CCCC(C#N)C(C)C)c(OC2CC(CN)CCC2C(=O)O)c1,0,[O-][N+](=O)c1cc(C(N2CC3(CN(c4cc(C#CCCCCCC)cnc4)CC3)C2)=O)cc([N+]([O-])=O)c1,C1(C(=O)O)CCC(CN)CC1Oc1cc(C#C)cc(C#CCCCC)c1COC(=O)C(CCSC)NC(CCCCC1CCN(C(=O)C(CCCCN)N)C(C(=O)O)C1(S)CCCC(C#N)C(C)C)=O,88.65
C#CCCCC(CC1CCCCC1)(NC(C)(CC(C)C)C(=O)NC(CCCCN)C(=O)O)C(=O)NCCOCCOCCOCCNC(=O)CCC(N)C(=O)NCC(NC(C(=O)N1CCCC1C(=O)O)C(C)C)C(C)CC#CCC(C)C,0,c1c2c(cc([N+]([O-])=O)c1C(=O)N1CC3(CN(c4cc(C#CCCCCCC)cnc4)CC3)C1)OCO2,OC(=O)C(CCCCN)NC(=O)C(CC(C)C)(C)NC(CCCC#C)(CC1CCCCC1)C(=O)NCCOCCOCCOCCNC(=O)CCC(N)C(=O)NCC(NC(C(C)C)C(N1C(C(=O)O)CCC1)=O)C(C)CC#CCC(C)C,70.01
*Cc1cc(CC)no1,0,C12(CN(c3cncc(C#CCCCCCC)c3)CC1)CN(C(=O)c1ccc3c(c1)OCO3)C2,*Cc1onc(CC)c1,12.96
