SMILES,SMILES_state,Warheads,Linker,NLL
c1(C2CCN(C(OC3CCC(NS(c3ccc([*])cc3)=O)(=O)=O)=O)CC2)ccc(C[*])cc1,0,C1C2(CCN(c3cc(C#Cc4ccccc4)cnc3)C2)CN1,c1(C2CCN(C(OC3CCC(NS(c3ccc([*])cc3)=O)(=O)=O)=O)CC2)ccc(C[*])cc1,24.29
Clc1ccc(C(NC2CC1c1ccc([*])cc2)c(Cl)c1C#Cc1ccc([*])cc1)=O,0,C12(CN(c3nc(Br)ccc3)CC1)CN(C(=O)OC(C)(C)C)C2,Clc1ccc(C(NC2CC1c1ccc([*])cc2)c(Cl)c1C#Cc1ccc([*])cc1)=O,16.3
c1c([*])nnc(C(N2CCC([*])CC2)=O)c1,0,c1(-c2cc(N3CC4(CN(C(=O)OC(C)(C)C)C4)CC3)cnc2)ccc(F)cc1,c1c([*])nnc(C(N2CCC([*])CC2)=O)c1,6.16
c12c([nH]c(-c3ccc(CN4CCC(c5[nH]c([*])nn5)CC4)cc3)n1)ccc([*])c2,0,c1ncc(N2CC3(CN(C(OC(C)(C)C)=O)C3)CC2)cc1Br,c12c([nH]c(-c3ccc(CN4CCC(c5[nH]c([*])nn5)CC4)cc3)n1)ccc([*])c2,13.24
c1(Br)cc2nc(C(=O)NCC[*])c(Cl)n2cc1C(=O)N1CCC([*])CC1,0,C(OC(C)(C)C)(N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1)=O,c1(Br)cc2nc(C(=O)NCC[*])c(Cl)n2cc1C(=O)N1CCC([*])CC1,21.97
N1(c2ccc([*])cc2F)C(=O)C(C)C(C)N(C(=O)C[*])C1,0,C(C)(C)(OC(N1CC2(CN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)CC2)C1)=O)C,N1(c2ccc([*])cc2F)C(=O)C(C)C(C)N(C(=O)C[*])C1,20.36
C1C(c2[nH]c(-c3ccc([*])cc3)cn2)CCN(CCN[*])C1,0,C1C2(CCN(c3cc(C#CCCCCCC)cnc3)C2)CN1C(CCc1c2c(cccc2)[nH]c1)=O,C1C(c2[nH]c(-c3ccc([*])cc3)cn2)CCN(CCN[*])C1,10.93
c1(=O)c2ccc(OCC[*])cc2[nH]cc1CCN1CCC([*])CC1,0,C12(CN(C(c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)=O)C1)CCN(c1cc(C#CCCCCCC)cnc1)C2,c1(=O)c2ccc(OCC[*])cc2[nH]cc1CCN1CCC([*])CC1,17.61
[*]c1ccc(NC(=O)C2CCCN2[*])cc1,0,c1c(N2CC3(CN(C(=O)c4cc5c(cc4[N+]([O-])=O)OCO5)C3)CC2)cncc1C#CCCCCCC,[*]c1ccc(NC(=O)C2CCCN2[*])cc1,6.53
[*]c1ccc(Cn2cc([*])c3ccccc23)cc1,0,C(CCCCC)C#Cc1cncc(N2CCC3(CN(C(c4cc5c(cc4)OCO5)=O)C3)C2)c1,[*]c1ccc(Cn2cc([*])c3ccccc23)cc1,9.45
