SMILES,SMILES_state,Scaffold,R-groups,NLL
*C1CCCC1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*C1CCCC1,5.55
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CCOC(C)C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CCOC(C)C,9.27
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C,1.37
*C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*C,1.56
*Oc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*Oc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,6.5
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CC,2.04
*Oc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*Oc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,7.81
*Cc1ccc(C(F)(F)F)cc1,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*Cc1ccc(C(F)(F)F)cc1,8.21
*c1cnc2ccccc2c1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1cnc2ccccc2c1,6.29
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CC(=O)O,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CC(=O)O,5.19
*CCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCC,2.69
*N1CCOc2cc3nc(C)[nH]c(=O)c3cc21,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*N1CCOc2cc3nc(C)[nH]c(=O)c3cc21,18.22
*CCCCCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*CCCCCCC,4.62
*C(F)F,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C(F)F,7.44
*N1CC2CC1CN2c1ccc(N2CCC(=O)NC2=O)cc1,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*N1CC2CC1CN2c1ccc(N2CCC(=O)NC2=O)cc1,17.41
*C=O,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C=O,2.17
*c1cncc(C#Cc2cncc(N3CC4(CNC4)C3)c2)c1,0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,*c1cncc(C#Cc2cncc(N3CC4(CNC4)C3)c2)c1,9.52
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,*C(C)(C)O,0.04
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,*C(C)(C)O,0.06
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,*C(C)(C)O,0.09
*C(C)(C)O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,*C(C)(C)O,0.08
*CC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,*CC,2.59
*CCCC,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*CCCC,2.69
*N1[C@H](C)COC[C@@H]1C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,*N1[C@H](C)COC[C@@H]1C,12.93
*CCCCN(C)C,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,*CCCCN(C)C,9.02
*C(F)(F)F,0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,*C(F)(F)F,5.3
*OC1CN(c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,*OC1CN(c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,5.32
