canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.9175257731958762,0.88,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8647084633740695,0.23011555810677142,8.370845939606648,4.095285468236077,5.135291536625931,0.23011555810677142,2.592280359883595,20.68878361206943,4.684265042736659,5.586318030515202,0.23011555810677142,3.704500000000002,-5.398870113210818,3.991442587356469e-06,Moderately Soluble,68.763,68.46985,38.943047,0,2,0,0.1522854,0.422438,0.784377,0.05307273,0.9301809,0.49198514,0.7105164,0.819678,0.3238886,0.9908408,0.99998903,0.73532516,0.9596009,0.89618933,-4.7483253,101.55848,5.2235303,417.5090000000002,3.704500000000002,0.5608548501847509,4.0,3.3064790822140635,0.7437245464206597,2,0,0
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.96875,1.27,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8874642147038966,0.23302162594240441,8.790315022058294,4.026892154879831,5.112535785296103,0.23302162594240441,2.696136201860873,22.089536413116104,4.655813398448991,5.569258172143216,0.23302162594240441,4.094600000000003,-5.772362307477528,1.6890312798605053e-06,Moderately Soluble,75.19876,71.6588,46.894787,0,2,0,0.14949223,0.4058323,0.7886429,0.05226,0.9404734,0.49352145,0.77584165,0.8653201,0.34066924,0.99327374,0.99999344,0.6960021,0.9597027,0.9293051,-4.7875,102.856544,6.197976,431.53600000000023,4.094600000000003,0.5271696227957308,4.0,3.301703026714801,0.744255219253911,2,0,0
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc(F)c(N)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6915887850467289,3.79,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,1.2626282899001904,0.5861336384845239,50.08161162879,75.26897184227086,4.73737171009981,0.5861336384845239,1.2995899927148167,257.899334423892,3.588549778670143,5.886193641529476,0.5861336384845239,3.6971000000000025,-5.3261025173236485,4.7195162163899365e-06,Moderately Soluble,45.124695,45.526966,39.820805,0,3,0,0.27838153,0.36646247,0.8083018,0.05052045,0.86873704,0.2657513,0.48380598,0.6369032,0.12050624,0.9622172,0.99992734,0.78734094,0.956802,0.80593383,-4.6493783,98.134834,7.516412,406.5050000000001,3.6971000000000025,0.47783176664547405,4.0,3.3300737552412594,0.7411029160843046,3,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(F)(F)C4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6835443037974683,3.05,5,KNN | KNN | DT | LGBM | ET,0.7328223915646678,5.405332220631853,5.267177608435333,0.9278773157816289,0.41709555739399395,14.038499146759083,15.204459730174465,5.072122684218371,0.41709555739399395,1.289347621052354,55.639678039926466,4.2546153917261424,5.889629976710599,0.41709555739399395,2.9841000000000015,-4.556017065802997,2.779604039783909e-05,Moderately Soluble,67.67147,36.426155,19.08414,0,0,0,0.117980555,0.19760844,0.7097894,0.11227733,0.5657781,0.048254333,0.32552606,0.21713082,0.037845276,0.3170193,0.9993864,0.88979894,0.9593622,0.31531525,-4.728081,79.81404,3.5968544,380.43900000000014,2.9841000000000015,0.7895429032657217,4.0,3.4768831950334604,0.7247907561073933,0,0,0
COc1cc(C#N)cc(N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)c1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.58,3.08,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.0507257082505457,0.35846477504927793,14.969254202713648,9.55080223706813,4.949274291749454,0.35846477504927793,2.2291266762237005,56.665231496637425,4.24668333265287,5.651865250846039,0.35846477504927793,4.078380000000003,-5.774272012721932,1.6816204777035487e-06,Moderately Soluble,68.3943,64.88851,82.4154,0,1,0,0.15931128,0.26153845,0.9380046,0.07391293,0.7871777,0.16517368,0.4623309,0.7465571,0.03837232,0.90306026,0.9998517,0.8637344,0.9332525,0.894824,-4.8093977,103.20201,5.0562925,420.5160000000002,4.078380000000003,0.5979255500698918,4.0,3.311880694208595,0.7431243673101562,1,0,0
CCOC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.8301886792452831,1.64,5,KNN | KNN | DT | LGBM | ET,1.0473835511646792,11.152790677403084,4.952616448835321,1.2582211925655882,0.21727456531396142,20.338874031659635,8.972062355276016,4.741778807434412,0.21727456531396142,6.797716441392545,48.31470593597989,4.315920659419048,5.167636955449776,0.21727456531396142,3.588200000000003,-5.507554912733732,3.1077429310197358e-06,Moderately Soluble,91.72273,82.89959,5.451518,0,1,0,0.18556295,0.3575858,0.775728,0.067922406,0.9444893,0.3270037,0.8028561,0.7930414,0.23164335,0.9672127,0.9999801,0.7756609,0.9793931,0.9299119,-4.9110913,92.71731,3.429612,450.5830000000003,3.588200000000003,0.5731882210530118,4.0,3.2236239543741583,0.7529306717362046,1,0,0
CN1CC2(CCN(c3cc(N)cc(C#N)c3)C2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.3414634146341463,4.23,5,KNN | KNN | DT | LGBM | ET,1.136531844292812,13.694047952128052,4.863468155707188,1.3218036406866187,0.4265724257588964,29.829083408774363,18.79729750154843,4.6781963593133815,0.4265724257588964,3.0600018299474945,143.8419610000613,3.8421144048259444,5.514278313800818,0.4265724257588964,1.2823799999999999,-2.431244679242029,0.00370471941019152,Soluble,-18.634775,6.101498,16.975704,0,1,0,0.45858544,0.22471038,0.319976,0.044966314,0.4073885,0.045649305,0.016551604,0.0061153267,0.026631605,0.015031834,0.9933321,0.8862527,0.7422364,0.018065415,-4.6615524,37.29464,3.7140076,242.32599999999996,1.2823799999999999,0.7537661745478809,4.0,3.325811112295889,0.7415765430782346,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4cccc(C(F)(F)F)c4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.7157894736842105,3.8,5,KNN | KNN | DT | LGBM | ET,1.168785665789645,14.749784182035203,4.831214334210355,1.074233361418242,0.2761388284808622,14.234574526346615,7.632324390782244,4.925766638581758,0.2761388284808622,3.4119389962291735,41.253943099783065,4.384534534759268,5.466998742404248,0.2761388284808622,5.214600000000005,-6.63136571018751,2.3368685823411766e-07,Poorly Soluble,77.32084,49.01966,63.779217,0,0,0,0.14011043,0.3438908,0.8108303,0.07199598,0.8896052,0.4773209,0.58942443,0.53188527,0.10364946,0.7912822,0.9999878,0.9072936,0.9868142,0.84372646,-4.9384437,100.554794,6.890662,433.4740000000001,5.214600000000005,0.6519889674834709,3.0,3.1190798966937026,0.7645466781451442,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C#N)nc3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,0.64,2.42,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.4031780916256178,0.6007704809209835,58.12308726423074,72.55939130402753,4.596821908374382,0.6007704809209835,1.6813880211808603,380.79236689771295,3.4193117657692547,5.77433205097951,0.6007704809209835,2.400480000000001,-3.706239138276361,0.0001966802998495661,Soluble,80.40712,70.617355,17.82555,0,0,0,0.20308805,0.17135437,0.78060645,0.14002101,0.2951421,0.1287092,0.14044029,0.090163894,0.016187984,0.06109332,0.99885595,0.9337739,0.9504053,0.12751448,-4.5075517,84.49059,2.096169,314.38900000000007,2.400480000000001,0.7958763929851745,4.0,3.2186340526844006,0.7534851052572888,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C#N)cn3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,0.6621621621621622,2.8,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.476741870344258,0.6099633100986529,63.936122220671976,70.66761813124717,4.523258129655742,0.6099633100986529,1.9107936200644124,470.18628632681924,3.3277300418623823,5.718786217449102,0.6099633100986529,2.400480000000001,-3.706239138276361,0.0001966802998495661,Soluble,83.499374,71.59534,12.216873,0,0,0,0.17003162,0.2272878,0.7285908,0.13216038,0.35106134,0.13667187,0.10656925,0.053385116,0.023770567,0.04994514,0.99922496,0.9388784,0.9585196,0.10174175,-4.520448,79.08711,-0.19905439,314.38900000000007,2.400480000000001,0.7958763929851745,4.0,3.0931615252118743,0.7674264971986806,0,0,0
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc(C(F)(F)F)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7168141592920354,3.11,5,KNN | KNN | DT | LGBM | ET,1.2883885532767132,19.426231205334453,4.711611446723287,1.248916346405754,0.16084179916244967,19.038402651719178,7.485960315590355,4.751083653594246,0.16084179916244967,8.583539697932144,36.65778947668518,4.435833727235845,5.066333579952648,0.16084179916244967,5.262600000000005,-6.8967873285222865,1.268272779608097e-07,Poorly Soluble,50.480705,31.528347,88.662926,0,4,0,0.36318225,0.54282415,0.7418466,0.12186374,0.97062576,0.21261983,0.59429467,0.60727566,0.4685499,0.966663,0.99996394,0.7251233,0.9486211,0.9619845,-4.8793044,100.703224,11.300371,472.51100000000014,5.262600000000005,0.24835100438458593,3.0,3.5131340418848858,0.7207628842350127,4,0,0
